timestamp,source_key,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at,ner_state_actors,llm_enhanced
2026-06-02T22:06:01.540183,assam_tribune,The Assam Tribune,"Nalbari murder: Govt, AASU reach out to family; survivor shows improvement",https://assamtribune.com/assam/nalbari-murder-govt-aasu-reach-out-to-family-survivor-shows-improvement-1612288,['nalbari'],ne,2026-06-02,"Nalbari murder: Govt, AASU reach out to family; survivor shows improvement
Five villages bar public burial rites for accused, reflecting widespread outrage over the brutal attack
Nalbari, June 2: A day after the brutal attack in Assam's Nalbari district that claimed the life of 18-year-old All Assam Students' Union (AASU) member Madhurjya Barman and left his cousin sister critically injured, senior political and student leaders visited the bereaved family on Tuesday.
Nalbari legislator Jayanta Mallabaruah, along with AASU chief adviser Samujjal Bhattacharya, met the victim's family and assured them of support as the community continued to reel from the shocking incident.
Speaking to the press before meeting the family, Mallabaruah said the government was committed to ensuring justice and was examining whether additional individuals were involved in the crime.
""The accused involved in the crime has died in a police encounter, but investigations are still on to ascertain whether anyone else was involved. The government has already instructed the police administration to take the strictest possible measures,"" he said.
Bhattacharya described Madhurjya's death as a personal loss for the student organisation, saying the teenager had died while trying to protect his cousin sister during the attack.
""When an AASU member dies, it feels like losing a member of our own family. Madhurjya died while trying to protect his sister. We met his parents today and no one can truly understand the grief they are going through,"" he said.
Noting that Madhurjya was the only child of his parents and had recently passed the Higher Secondary examination, Bhattacharya urged the state government to extend all possible assistance to the family.
Deep in grief, Madhurjya's mother appealed to the government to ensure that no other family suffers a similar tragedy.
""My son was only 18. He loved working for society and was actively associated with AASU. I pray that no other child has to suffer such a brutal attack,"" she said.
Meanwhile, Nalbari Senior Superintendent of Police Bibekananda Das said the investigation was progressing and that the weapon allegedly used in the attack had been recovered.
""The manner in which the attack was carried out was inhumane. The accused also attacked the police team during the operation, causing damage to service vehicles and minor injuries to a sub-inspector. The victim girl is still fighting for her life and we urge people to remain alert and share information about such individuals whenever possible,"" Das said.
Security has been tightened in the area, with police personnel deployed outside the accused's residence to prevent any untoward incident.
In a significant development, representatives of five villages in the Kalakuchi area resolved not to permit public funeral rites for the accused.
A meeting held under the banner of the Kalakuchi Kumarikata Milan Kabarsthan strongly condemned the crime and decided that he would not be allowed burial in the traditional public cemetery.
Residents said the family could conduct burial rites on private property if they wished.
Amid the tense atmosphere, doctors at Gauhati Medical College and Hospital (GMCH) offered a measure of hope regarding the condition of the injured girl.
GMCH Superintendent Dr Devajit Choudhury said she has shown signs of improvement, has been able to speak and recognise her father, though she remains under close medical observation.
Doctors said she is not yet completely out of danger and that recovery from the psychological trauma of the attack is likely to take time. Further MRI and ultrasound examinations have been planned to assess injuries to her lower body and spinal region.
The attack has triggered widespread outrage across Assam, with demands for swift justice and stronger safeguards against such violent crimes.",rss,['Nalbari'],['Aasu'],[],[],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T14:27:30.392824,[],True
2026-06-05T12:43:34.358354,assam_tribune,The Assam Tribune,Manipur commando killed in knife attack during anti-drug op in Thoubal,https://assamtribune.com/north-east/manipur-commando-killed-in-knife-attack-during-anti-drug-op-in-thoubal-1612361,['thoubal'],ne,2026-06-04,"Manipur commando killed in knife attack during anti-drug op in Thoubal
Meitei Pangal body condemns killing, urges swift justice and cautions against linking criminal acts to any community
Imphal, June 5: A police personnel attached to the Commando Unit of Manipur's Thoubal district was killed after he was allegedly stabbed by a suspected drug trafficker during an anti-drug operation on Wednesday night.
The deceased personnel has been identified as Havildar Kh. Suresh Singh of the 4th India Reserve Battalion (IRB), who was attached to Commando Unit (CDO) Thoubal.
According to police, a team of the commando unit launched an operation at around 8:20 pm on June 3 following specific intelligence inputs regarding illicit drug trafficking activities in the district.
During the operation, two individuals were detained for questioning. However, one of the detainees, identified as Md. Naobi alias Mahil (25), allegedly attacked Havildar Singh with a knife.
The assault left the police personnel critically injured. In the ensuing chaos, the accused and the second detainee managed to flee from the spot, police said.
Havildar Singh was immediately rushed to the District Hospital, Thoubal, where doctors declared him brought dead at around 9:15 pm.
Following the incident, security forces launched intensive search operations to track down the suspects.
Police said the main accused, Md. Naobi, was arrested by Thoubal District Police at around 8:45 am on Thursday.
Efforts are continuing to apprehend the second suspect who remains at large. Police have also initiated a detailed investigation to establish the sequence of events and ascertain all circumstances surrounding the fatal attack.
The killing drew sharp reactions from civil society groups. The All Yaripok Meitei Pangal Clubs Organisation (AYMPCO) condemned the incident and expressed solidarity with the bereaved family of the slain police personnel.
In a statement, the organisation urged authorities to ensure that those responsible are dealt with strictly in accordance with the law and that justice is delivered without delay.
AYMPCO also stressed that criminal acts should not be associated with any particular community and maintained that individuals found guilty must face legal consequences irrespective of their background.
Police said search operations are continuing to trace the absconding suspect and complete the investigation into the case.",rss,['Thoubal'],['Meitei'],[],['Personnel'],[],Search Operation,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T14:27:30.512422,[],True
2026-06-08T20:06:21.895302,assam_tribune,The Assam Tribune,How two fresh shootings rekindle Assam's simmering police encounter debate,https://assamtribune.com/assam/how-two-fresh-shootings-rekindle-assams-simmering-police-encounter-debate-1612510,['encounter'],ne,2026-06-08,"How two fresh shootings rekindle Assam's simmering police encounter debate
Public anger over crime meets legal safeguards as fresh shootings renew focus on due process & accountability
For five years, Assam's record of police encounters has been the subject of a Supreme Court petition, an ongoing inquiry, and a debate that grows sharper with every fresh incident. And two shootings on June 1, within hours of each other, have ensured it is far from over.
The more serious of the two incidents involved Rose Ali, the prime accused in the murder of All Assam Students' Union (AASU) member Madhurjya Barman, who was shot dead in Nalbari.
Nalbari Senior Superintendent of Police Bibekananda Das claimed Ali snatched a service firearm, fired four rounds at the police team while attempting to flee, and was shot in retaliation.
Das, speaking to the press outside the hospital where Ali's body was later brought, was brief, ""In today's time, such criminals are rare.""
The Nalbari shooting came barely hours after rape accused Akkas Ali, 35, was shot in the leg after he allegedly attacked police personnel and attempted to escape custody near Chhaygaon in Kamrup district. He was arrested in connection with the alleged rape of a 10-year-old girl.
Assam Police maintains that encounters occur within the legal framework. ""Assam Police works under the purview of the law,"" IGP (Law and Order) Akhilesh Kumar Singh told The Assam Tribune.
Police officials added that every encounter resulting in death is followed by a mandatory magisterial inquiry conducted by authorities from another district “to ensure impartiality.""
Taken individually, both incidents fit a pattern repeatedly cited by Assam Police over the past four years - the accused was shot in retaliatory firing while attempting to flee after snatching a service weapon.
A petition, a directive, a wait
It is a pattern the legal system has already taken note of. In December 2021, Assam-based advocate Arif Jwadder filed a PIL in the Gauhati High Court alleging that more than 80 fake encounters had taken place between May 2021 and August 2022.
During proceedings, the Assam government filed affidavits stating that 171 police encounters had occurred in the period, leaving 56 persons dead, including four custodial deaths, and 145 others injured.
The court dismissed the PIL in January 2023, holding it premature and finding that the documents on record made only vague assertions.
Jwadder then appealed to the Supreme Court in April 2023 challenging the judgement, seeking an independent probe by agencies such as the CBI, a Special Investigation Team, or police personnel from outside Assam, arguing that the incidents warranted scrutiny beyond internal police investigations.
The Supreme Court expressed concern on multiple occasions, with the bench noting that accused persons losing their lives ""just like that"" is not conducive to the rule of law.
A significant development came on May 28, 2025, when a bench comprising Justices Surya Kant and N. Kotiswar Singh directed the Assam Human Rights Commission (AHRC) to conduct an independent and expeditious inquiry into the allegations.
Yet, according to Jwadder, little has moved since. ""The investigation hasn't yet started. I have mailed the Human Rights Commission three times and also met officials last year. They assured me that action would be taken, but till now nothing has happened,"" he said.
He argued that the absence of independent scrutiny has contributed to a sense of impunity.
""When encounters continue without scrutiny, police personnel gain the impression that they can do anything without being questioned,"" he alleged.
The AHRC, however, maintains that the inquiry is underway, with delays attributed to the scale and complexity of the exercise rather than inaction.
The Commission says it has been collecting records from districts across Assam, compiling details of victims, family members, and police personnel connected to encounter cases.
""Documentary evidence m",rss,"['Kamrup', 'Nalbari']",['Aasu'],[],['Personnel'],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T14:27:31.429724,[],True
2026-06-08T16:31:41.639933,assam_tribune,The Assam Tribune,"Arya Nagar clash: AASU targets MLA Gupta, vows protests till justice served",https://assamtribune.com/guwahati/arya-nagar-clash-aasu-targets-mla-gupta-vows-protests-till-justice-served-1612506,"['protest', 'clash', 'aasu']",ne,2026-06-08,"Arya Nagar clash: AASU targets MLA Gupta, vows protests till justice served
The incident also drew condemnation from Assam Sahitya Sabha president, who expressed concern over the alleged assault on a journalist
Guwahati/Jorhat, June 8: A day after a clash erupted in Guwahati's Arya Nagar locality, the All Assam Students' Union (AASU) on Monday submitted a memorandum to the office of the Deputy Commissioner of Kamrup (Metropolitan), demanding justice for the alleged assault on an Assamese youth and warning that protests would continue until action is taken.
The incident, which broke out on Sunday, had its origins in a resident-led protest against the alleged sale of illicit marijuana in the area, a constituency that falls under Central Guwahati MLA Vijay Gupta.
The protest, however, soon shifted focus to the identities of the alleged peddlers. Videos circulating on social media purportedly show members of the non-Assamese community raising the slogan ""Assamese Go Back,"" which reportedly aggravated the situation further. In the ensuing violence, an Assamese youth, a police personnel and a journalist sustained injuries.
Addressing the press after submitting the memorandum, AASU president Utpal Sarma trained his criticism on MLA Gupta, questioning his silence on the incident.
""Before the election, Central Guwahati MLA Vijay Gupta claimed to be Assamese before the people. Now is the time for him to prove it. He has not even posted about the incident on social media,"" Sarma said.
The AASU leader placed the Arya Nagar clash in a broader pattern of alleged attacks on the Assamese community, saying such incidents had been recurring since Bihu.
""An Assamese woman's clothes were allegedly torn off in Fancy Bazar by a non-Assamese individual. Assamese youths were attacked before Bihu, and now this is the third such incident within two months,"" he said.
Sarma also drew a pointed contrast with how the state government responds to such incidents depending on which community is targeted.
""Had Assamese people done the same to members of a non-Assamese community, the Chief Minister would have come forward to protect them and urged people not to take the law into their own hands,"" he alleged.
While asserting that the Assamese community had no objection to non-Assamese people coming to Assam to earn a livelihood, Sarma drew a firm line at what he described as behaviour that targets or insults the community.
""The protest will continue. Behaviour that insults or targets the Assamese community will not be tolerated,"" he said.
The incident also drew sharp condemnation from Assam Sahitya Sabha president Basanta Kumar Goswami, who expressed particular concern over the alleged assault on a journalist covering the violence.
""It is particularly disturbing that a journalist who had gone to the area to report on the situation was allegedly attacked by a mob while performing his professional duty. Incidents such as these raise serious concerns about the safety and security of journalists, which appear to be increasingly under threat across India,"" Goswami said.
Calling for swift action, Goswami urged the authorities to identify, apprehend and punish all those responsible. At the time of filing this report, neither had the district administration issued a statement nor had any arrests been made.",rss,"['Jorhat', 'Kamrup']",['Aasu'],['AASU'],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-09T14:27:31.135661,[],True
2026-06-05T16:42:02.264936,assam_tribune,The Assam Tribune,"Arunachal govt sets up four panels to curb infiltration, boost ILP, tribal rights",https://assamtribune.com/north-east/arunachal-govt-sets-up-four-panels-to-curb-infiltration-boost-ilp-tribal-rights-1612409,['infiltration'],ne,2026-06-05,"Arunachal govt sets up four panels to curb infiltration, boost ILP, tribal rights
All four committees have been empowered to seek reports, data and status updates with a deadline to submit their recommendations within six months of their first meeting
Itanagar, Jun 5: Arunachal Pradesh government has constituted four high-powered committees to examine infiltration issues, strengthen the Inner Line Permit system, re-verify ST certificates and protect the rights of indigenous people.
Chief Minister Pema Khandu on Friday said the panels were formed in line with the resolutions adopted at consultative meetings, held on May 27 and May 29 under his chairmanship, on issues concerning indigenous tribal rights, Arunachal Pradesh Scheduled Tribes, the ILP framework and related concerns.
“The Committee brings together representatives from AITF, AAPSU, the Arunachal ST Bachao Andolan Committee, legal experts, scholars and government officials, ensuring a broad-based and participatory approach to this important issue,” said Khandu in a social media post.
Addressing concerns over infiltration and illegal immigrants, the government has also formed a high-powered committee headed by Environment and Forests Minister Wangki Lowang, an official order stated.
The committee has been tasked with studying the prevalence of infiltration and immigration in the state and recommending measures for stronger border control, digital verification systems, and action against forged identity documents and undocumented settlement networks.
The panel has also been mandated to suggest administrative and legal measures to curb illegal immigration and strengthen existing safeguards within the constitutional and legal framework.
To further strengthen the Inner Line Permit regime, the government has constituted another committee headed by Agriculture and Horticulture Minister Gabriel D Wangsu.
The committee will examine the existing system of issuance, monitoring and verification of ILPs, review the 2026 ILP guidelines and recommend restructuring measures to strengthen the framework.
It has also been tasked with proposing technology-driven mechanisms for ILP issuance and monitoring, developing a robust verification process, and recommending suitable categories for issuance of such permits to tourists, visitors and workers.
The government has also constituted a panel headed by Education Minister Pasang Dorjee Sona to examine the re-verification of APST certificates and related matters.
The panel will review the existing system of issuance, monitoring and verification of APST certificates, including the guidelines notified in 2022.
The committee will recommend a robust methodology for APST verification, suggest amendments to existing guidelines, and propose advanced security features, digital and biometric verification systems, village-level scrutiny mechanisms and district-level verification procedures.
It has also been asked to recommend legal and administrative measures against forged or illegally obtained APST certificates and fraudulent claims of tribal status.
Another committee, headed by Law Minister Kento Jini, has been constituted to examine issues relating to non-APST lineage claims, protection of indigenous rights and related matters.
The panel will study the existing system governing acquisition and protection of tribal rights, identify loopholes that allow misuse or indirect acquisition of such rights, and recommend legal and administrative safeguards concerning tribal identity, inheritance, lineage verification, and indigenous land protection and reservation benefits.
It has also been tasked with suggesting measures to prevent misuse of tribal protections through manipulated documentation or indirect claims and recommending legal action against illegally acquired tribal rights.
The government orders stated that all four committees have been empowered to seek reports, data and status updates from departments and district administrations and are required t",rss,['Itanagar'],[],[],[],[],Border Infiltration,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:30.672655,[],True
2026-06-06T17:13:25.504803,assam_tribune,The Assam Tribune,"CRPF chief reviews Manipur security, charts path to end insurgency with Guv",https://assamtribune.com/north-east/crpf-chief-reviews-manipur-security-charts-path-to-end-insurgency-with-guv-1612432,[],ne,2026-06-06,"CRPF chief reviews Manipur security, charts path to end insurgency with Guv
The review came hours after a deadly Kangpokpi attack left three dead and several homes torched
Imphal, June 6: Amid ongoing violence in Manipur, Central Reserve Police Force (CRPF) Director General Gyanendra Pratap Singh called on Governor Ajay Kumar Bhalla and discussed the force's comprehensive roadmap to eliminate insurgency and restore lasting peace in the troubled state.
Singh, who is on a three-day visit to the State, reviewed the prevailing security situation and ongoing measures aimed at maintaining peace and stability.
The CRPF, in a post on social media on Friday, said, ""Discussions focused on enhancing operational preparedness, strategic planning, and the @crpfindia's comprehensive roadmap to eliminate insurgency and restore lasting peace in Manipur.""
According to a statement issued by Raj Bhavan, senior CRPF officers briefed the Governor on the current law and order scenario and the steps being taken to address emerging security challenges across the State.
The discussions also emphasised strengthening security arrangements to safeguard the lives and properties of citizens and ensure effective response mechanisms in vulnerable areas.
The meeting came hours after three persons, including a woman, were killed in an attack, while at least seven houses were set ablaze by the assailants in the Kangpokpi district.
The security forces have intensified search operations to track down those involved in the attack at Loibol Khullen village under the Saitu-Gamphazol subdivision.
Earlier, the Centre had further bolstered the security apparatus in the State by approving the deployment of two battalions of the CRPF's elite Commando Battalion for Resolute Action (CoBRA), a specialised unit trained in guerrilla and jungle warfare operations.
The battalions are expected to support ongoing counter-insurgency and area domination exercises, particularly in vulnerable and difficult terrain.
“The two CoBRA battalions will undertake specific operations against the armed groups that undertake violence in Manipur,” a senior security officer had said as a part of efforts to continue to restore normalcy in the conflict-hit State.
The high-level review assumes significance as Manipur continues to witness sporadic incidents of violence despite ongoing efforts by security agencies to stabilise the situation.
With inputs from PTI",rss,['Kangpokpi'],[],[],[],[],Search Operation,"{'killed': ['three dead'], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:30.777437,['CRPF'],True
2026-06-10T18:09:19.370949,assam_tribune,The Assam Tribune,Six bodies found in Manipur's Kangpokpi; feared to be missing Naga hostages,https://assamtribune.com/north-east/six-bodies-found-in-manipurs-kangpokpi-feared-to-be-missing-naga-hostages-1612582,['kangpokpi'],ne,2026-06-10,"Six bodies found in Manipur's Kangpokpi; feared to be missing Naga hostages
Authorities are awaiting post-mortem examinations and identification to conclusively establish the identities of the deceased
Imphal, June 10: The mortal remains of six persons were recovered from Karam Vaiphei in Kangpokpi district, on Wednesday, following nearly 24 hours of sustained search operations, raising fears that they may be among the Naga civilians reportedly taken hostage from Leilon Vaiphei on May 13.
""After nearly 24 hours of sustained search operations involving around 450 personnel of the Manipur Police, CRPF, and Assam Rifles, assisted by sniffer dogs and forensic experts, the mortal remains of six persons were recovered this afternoon. The deceased are believed to be among those taken hostage from Leilon Vaiphei on 13 May 2026,"" Manipur Police said in a statement.
The bodies are expected to be sent to the Regional Institute of Medical Sciences in Imphal for post-mortem examination and identification.
Official confirmation of the identities is awaited. Police said necessary legal formalities are being completed and an investigation is underway.
The incident traces back to May 13, when several individuals from different communities, including members of the Naga community, were reportedly taken hostage from the Leilon Vaiphei area.
The alleged abduction followed an ambush near Saheibung village in Kangpokpi district in which three Thadou church leaders were killed.
Of the 38 people from different communities held hostage by armed groups during the recent violence in Kangpokpi and Senapati districts, 31 were released on May 15.
The recovery on Wednesday comes a day after 14 Kuki hostages were freed after 27 days in captivity, in a handover facilitated by the United Naga Council in the presence of district administration officials, police, and security forces.
UNC president Ng Lorho had said the release reflected the Naga community's commitment to humanitarian principles and established norms of conflict.
He said the UNC decided to facilitate the handover after taking into account assurances from both the Union and Manipur governments regarding efforts to trace and establish the status of the six missing Naga individuals, as well as appeals from church bodies, tribal organisations and civil society groups across the region.
The investigation is continuing and further details are awaited.",rss,"['Senapati', 'Kangpokpi']",[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-10T18:09:19.475762,['CRPF'],
2026-06-13T12:13:56.116290,assam_tribune,The Assam Tribune,"Hojai police rescue minor after week, detain suspect in kidnapping case",https://assamtribune.com/assam/hojai-police-rescue-minor-after-week-detain-suspect-in-kidnapping-case-1612685,"['kidnapping', 'hojai']",ne,2026-06-13,"Hojai police rescue minor after week, detain suspect in kidnapping case
Police officials have reiterated that the inquiry remains ongoing & that all relevant aspects of the case are being thoroughly examined
Hojai, June 13: An alleged kidnapping case involving a minor girl has sparked concern in Hojai district, with the police swiftly intervening to trace the victim and apprehend the accused.
According to official sources, the incident came to light after the family of a 16-year-old girl from the Barpukhuri area, situated nearly five kilometres from Hojai town, lodged a complaint at the Hojai Police Station, alleging that their daughter had been lured away by a young man.
The girl, a Class X student, was reportedly missing since last Sunday, prompting her family to seek immediate police intervention.
Acting on the complaint, investigators launched a search operation and initiated an inquiry into the circumstances surrounding her disappearance.
Following sustained efforts, Hojai Police successfully recovered the minor girl and detained the accused, identified as Manoj Harijan, a resident of the Kumarakata area.
Preliminary investigation revealed the identity and residence of the accused, after which further legal proceedings were initiated.
On Thursday, Manoj Harijan was produced before the court of the Judicial Magistrate at Sankardev Nagar, Hojai, where the matter was placed under judicial consideration.
The case has attracted attention from various social and community organisations, which have called for a comprehensive and impartial investigation.
Representatives of these groups have urged law-enforcement agencies to ensure that the case is pursued strictly in accordance with the law and that appropriate action is taken based on the findings of the investigation.
Meanwhile, police officials have reiterated that the inquiry remains ongoing and that all relevant aspects of the case are being thoroughly examined.
Authorities have also appealed to citizens to maintain communal harmony, avoid speculation, and allow the investigation to proceed without interference.
The development has once again highlighted concerns regarding the safety of minors and the importance of vigilance among families and communities in safeguarding young people from potential exploitation and criminal activities.",rss,['Hojai'],[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-13T12:13:56.595886,[],
2026-06-13T14:49:53.758798,assam_tribune,The Assam Tribune,IAF transport aircraft reportedly crashes at Jorhat air base; pilot feared dead,https://assamtribune.com/assam/iaf-transport-aircraft-reportedly-crashes-at-jorhat-air-base-pilot-feared-dead-1612687,['jorhat'],ne,2026-06-13,"IAF transport aircraft reportedly crashes at Jorhat air base; pilot feared dead
The co-pilot survived the incident and is undergoing treatment at the Air Force Station hospital
Jorhat, June 13: An Indian Air Force (IAF) AN-32 transport aircraft reportedly crashed while landing at the Air Force Station in Jorhat on Saturday, triggering a fire within the military installation and prompting an emergency response.
According to preliminary reports, one pilot is feared dead, while the co-pilot sustained injuries and is undergoing treatment at the Air Force Station's medical facility.
The incident reportedly occurred within the premises of the Air Force Station, where the aircraft caught fire following the crash. Emergency teams were immediately deployed to the site to contain the blaze and assess the situation.
Residents living near the airbase said they became aware of the incident after hearing a loud noise and noticing thick plumes of smoke rising from the area.
“We heard a loud noise and came outside to see what had happened. That's when we noticed thick black smoke billowing from the area,” a local resident said.
Another resident claimed that the aircraft appeared to have been on the ground at the time of the incident.
“The aircraft was not in flight. It appeared to be stationed on the ground, and I did not hear the sound of an aircraft flying overhead. I only saw thick black smoke rising from the site,” the resident said.
The circumstances leading to the crash remain unclear, and the exact cause of the incident has not yet been established.
The Indian Air Force has not issued an official statement confirming the crash or providing details on casualties and the sequence of events leading to the incident.
The Soviet-origin AN-32 is a twin-engine tactical transport aircraft that has served as a key workhorse of the IAF for decades, particularly in difficult terrains and high-altitude sectors in the Northeast and along the Himalayan frontier.
The latest incident has once again drawn attention to the aircraft’s operational history.
In June 2019, an IAF AN-32 carrying 13 personnel went missing after taking off from Jorhat Air Force Station for Mechuka in Arunachal Pradesh.
After an extensive search operation, the wreckage was located in the mountainous terrain of Arunachal Pradesh, and all 13 personnel on board were declared dead.
This is a developing story and further details are awaited.",rss,['Jorhat'],[],[],[],[],Search Operation,"{'killed': ['one dead'], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-13T14:49:53.863804,[],
2026-06-05T13:08:25.603267,assam_tribune,The Assam Tribune,"Moran-Motok groups protest cabinet exclusion, enforce bandh in Tinsukia, Dibrugarh",https://assamtribune.com/assam/moran-motok-groups-protest-cabinet-exclusion-enforce-bandh-in-tinsukia-dibrugarh-1612397,"['dibrugarh', 'tinsukia', 'protest', 'bandh']",ne,2026-06-05,"Moran-Motok groups protest cabinet exclusion, enforce bandh in Tinsukia, Dibrugarh
The 48-hr bandh, which began at 5 am, disrupted daily life across the district. Protesters were seen burning tyres at several locations.
Jorhat, June 5: Ahead of the swearing-in ceremony of 12 new ministers in the Assam Cabinet, normal life came to a standstill in Tinsukia and Dibrugarh district on Friday as organisations representing the Moran and Motok communities enforced a 48-hour bandh.
The organisations alleged that the government led by Chief Minister Himanta Biswa Sarma had failed to honour its commitments to the two indigenous communities and had once again overlooked them in the Cabinet expansion.
“The state government led by Himanta Biswa Sarma is expanding the Cabinet today. Once again, the Moran and Motok communities have been ignored, as not a single MLA from either community has been inducted into the Cabinet. Several promises were made to our people before the elections, but those commitments remain unfulfilled,” said All Moran Students’ Union president Polindra Borah.
“In protest against this continued neglect, we have called a 48-hour bandh in Tinsukia and Dibrugarh districts,” he added.
The bandh, which began at 5 am, disrupted daily life across the district. Protesters were seen burning tyres at several locations and raising slogans against the government while demanding Scheduled Tribe (ST) status for the Moran and Motok communities.
Vehicular movement came to a halt in many areas, while shops and business establishments across the commercial town remained shut.
Borah further urged the government to address the long-pending demand for Scheduled Tribe status.
“We have been demanding ST status for many years, but the demand remains unfulfilled. The government has repeatedly raised hopes without delivering on its promises,” he said.",rss,"['Jorhat', 'Tinsukia', 'Dibrugarh']",[],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],7.5,MEDIUM,Unrest,2026-06-09T14:27:30.867172,[],True
