timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,ner_state_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at,llm_enhanced
2026-06-07T13:57:15.650636,Daily Excelsior,"Anti-Infiltration Grid improved, enhanced, upgraded to thwart intrusion bids on LoC",https://www.dailyexcelsior.com/anti-infiltration-grid-improved-enhanced-upgraded-to-thwart-intrusion-bids-on-loc/,['infiltration'],jk,2026-06-07,"Pak desperate to push terrorists, troops on high alert
*UAS, drones being used regularly for surveillance
Sanjeev Pargal
JAMMU, June 6: The Anti-Infiltration Grid has been further strengthen along the Line of Control (LoC) in Poonch and Rajouri districts in the Jammu region and Baramulla and Kupwara in the Kashmir division amid reports that Pakistan was trying to push terrorists into Jammu and Kashmir to increase their dwindling strength to cause subversive activities.
“Unmanned Aerial Systems (UAS), drones, surveillance cameras and many other sophisticated equipments have been installed along the LoC and manual patrolling has been further intensified all along the LoC to ensure that the terrorists don’t manage to infiltrate from Pakistan,” officials told the Excelsior.
Follow the Daily Excelsior channel on WhatsApp
Army chief Gen Upendra Dwivedi is expected to visit the Northern Command Headquarters and the LoC to supervise the Anti-Infiltration Grid after few days, the sources said, adding Gen NS Raja Subramani, who recently took over as the new Chief of Defence Staff (CDS) may also pay a visit to Jammu and Kashmir shortly as the UT remains prime focus because of the infiltration attempts by Pakistan and ongoing anti-terror operations in the upper reaches.
Northern Command chief Lt Gen Pratik Sharma and General Officer Commanding (GOC) 16 Corps Lt Gen PK Mishra have regularly been visiting the LoC to review anti-infiltration measures taken by the troops and to further strengthen them to ensure zero intrusions from Pakistan.
Asserting that adequate measures are in place on the LoC, sources, however, said that the steps are constantly being reviewed, improved, enhanced and upgraded to thwart designs of Pakistan and the terrorists.
Pakistan, as per the sources, is worried about dwindling strength of the terrorists and inability of those who are present to cause any terror act due to stringent security measures in place across the Union Territory including the sensitive and vulnerable areas. The killing of Saifullah, top Jaish-e-Mohammed (JeM) commander and his three associates in upper reaches of Chatroo in Kishtwar district in encounters with security forces in February this year, has further dented the terrorists and their mentors sitting in Pakistan as he was operating in different areas for the last two years and was instrumental in several terror attacks.
“Some of the foreign terrorists present in Jammu division have fled to the upper reaches of Kishtwar, Udhampur and other districts as snow has already melted there in the summer,” the sources but added that the terrorists keep changing their hideouts from one hilly area to another depending on pressure of the security forces.
Sources said majority of the infiltration attempts made by the terrorists with backing of Pakistan army in the past on the LoC have been successfully thwarted by the troops this year in which number of terrorists have been neutralized and rest fled back under the cover ",playwright,"['Baramulla', 'Kishtwar', 'Udhampur', 'Kupwara', 'Rajouri', 'Jammu', 'Poonch']",['Jem'],[],[],[],[],Border Infiltration,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T14:27:38.272560,True
2026-06-09T22:55:33.419445,Daily Excelsior,"Massive Blow To Drug Network: 104 Grams Of Charas, ₹25.50 Lakh Cash Seized In Anantnag; Drug Peddler Arrested",https://www.dailyexcelsior.com/massive-blow-to-drug-network-104-grams-of-charas-%e2%82%b925-50-lakh-cash-seized-in-anantnag-drug-peddler-arrested/,"['arrested', 'anantnag']",jk,2026-06-09,"ANANTNAG, Jun 9 : Continuing its intensified crackdown against the drug menace, Anantnag Police on Tuesday claimed a major success by recovering 104 grams of charas-like substance and cash amounting to ₹25.50 lakh during a raid in the Tulkhan area of Bijbehara, leading to the arrest of an alleged drug peddler.
Police said the action was carried out on the basis of specific and credible information suggesting that a notorious drug peddler had concealed narcotic substances at his under-construction house in Tulkhan.
Acting swiftly, a police team conducted a raid at the specified location and carried out a thorough search of the premises. During the operation, officers recovered 104 grams of charas-like sticks along with ₹25,50,000 in cash, which had allegedly been hidden beneath boulders on the ground floor of the under-construction house.
The accused has been identified as Farooq Ahmad Dar, son of Ghulam Hassan Dar, a resident of Tulkhan, Bijbehara. He was immediately taken into custody in connection with the case.
Police said that a case under FIR No. 154/2026 has been registered under Section 8/20 of the NDPS Act at the concerned police station, while further investigation has been initiated to ascertain the source of the contraband and the possible links of the accused with larger narcotics networks.
Reiterating its firm resolve to eradicate the drug menace from society, Anantnag Police said the drive against narcotics trafficking and those involved in the illegal trade would continue with full force.
The police also appealed to the public to cooperate by sharing information related to drug peddling and other narcotics-related activities, assuring that the identity of informants would be kept confidential and strict legal action would be taken against offenders.
“Anantnag Police remains committed to making the district drug-free and ensuring a safer future for the youth by dismantling the networks involved in narcotics trafficking,” the statement added.(KNC)",playwright,['Anantnag'],[],[],[],[],['Police'],Search Operation,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T22:55:33.916737,
2026-06-10T20:01:56.437874,Daily Excelsior,Delhi HC Grants Bail To Kashmiri Human-Rights Activist Khuram Parvez In UAPA Case,https://www.dailyexcelsior.com/delhi-hc-grants-bail-to-kashmiri-human-rights-activist-khuram-parvez-in-uapa-case/,['uapa'],jk,,"Delhi HC Grants Bail To Kashmiri Human-Rights Activist Khuram Parvez In UAPA Case
NEW DELHI, Jun 10: The Delhi High Court on Wednesday granted bail to Kashmiri human rights activist Khuram Parvez in a case under the anti-terror law. A bench of Justices Navin Chawla and Ravinder Dudeja took note of Parvez's over-four-year...
NEW DELHI, Jun 10: The Delhi High Court on Wednesday granted bail to Kashmiri human rights activist Khuram Parvez in a case under the anti-terror law.
A bench of Justices Navin Chawla and Ravinder Dudeja took note of Parvez's over-four-year incarceration in the case and the unlikelihood of the trial concluding soon to hold that his rights under Article 21 of the Constitution trumped the restriction on bail under section 43D(5) of the Unlawful Activities (Prevention) Act (UAPA).
The bench further observed that having lost his leg in a landmine blast in 2004, the accused is infirm and deserves ""special consideration"".
The court set aside a trial court's December 2024 order rejecting Parvez's bail plea and ordered, ""We direct that the appellant be released on bail in RC No. 30/2021/NIA/DLI, P.S. NIA, in NIA/4/2022 on conditions."" The court asked Parvez to surrender his passport, not leave Delhi without the trial court's permission and regularly report to the investigating officer.
It also directed him not to make any public statement on the case or participate in activities prejudicial to public order or the trial's integrity, or ""upload/share/disseminate or circulate any anti-national material"".
Parvez, the programme coordinator of the Jammu and Kashmir Coalition of Civil Society and the chairperson of the Asian Federation Against Involuntary Disappearances, was arrested by the National Investigation Agency (NIA) on November 22, 2021.
The NIA had alleged that under the guise of human-rights activism, Parvez conspired with a Lashkar-e-Taiba (LeT) operative to run a network of overground workers (OGWs) for furthering the activities of the Pakistan-based terrorist organisation and committing terror acts in India.
It had alleged that Parvez was actively involved in collecting information regarding the movement of Army vehicles near the Line of Control (LoC), road conditions and details of Army camps, structures of the Army, paramilitary and police etc.
The NIA has charge-sheeted Parvez for several offences, including under sections 13 (punishment for unlawful activities), 18 (punishment for conspiracy etc.), 18B (punishment for recruiting of any person or persons for terrorist act), 38 (offence relating to membership of a terrorist organisation) and 39 (offence relating to support given to a terrorist organisation) of the UAPA and other sections under the Prevention of Corruption Act and the Indian Penal Code.
Opposing the bail plea, the NIA contended in the high court that material shows that the case against the human-rights activist is founded on overt acts, including recruitment of OGWs for the LeT, transmission of intelligence ",playwright,['Jammu'],['Let'],['NIA'],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-10T20:01:56.711945,
2026-06-10T04:12:38.372516,Daily Excelsior,Court acquits seven in stone pelting case,https://www.dailyexcelsior.com/court-acquits-seven-in-stone-pelting-case/,['stone pelting'],jk,2026-06-09,"Excelsior Correspondent
JAMMU, June 9: A Srinagar court has acquitted seven Barzulla residents in a 2016 stone-pelting and attempt-to-murder case registered after alleged violence during a Hurriyat strike call, holding that the prosecution failed to prove their guilt beyond reasonable doubt.
The judgment was passed by the Court of 4th Additional Sessions Judge, Srinagar, Preet Simran Kour, in State (now UT) Versus Shameem Ahmad Sofi & Others. The case arose out of FIR No. 132/2016 of Police Station Saddar, Srinagar, registered under Sections 147, 148, 149, 307, 336 and 323 RPC.
According to the prosecution, on July 9, 2016, police personnel along with CRPF and Armed Police were deployed at Barzulla for law-and-order duty when a strike call was allegedly given by Hurriyat. It was alleged that announcements were made from a local mosque, people assembled in the shape of a mob and pelted stones on police personnel, resulting in injuries and damage to vehicles.
The accused persons facing trial were Shameem Ahmad Sofi, Zahoor Ahmad Wani, Abid Gul, Munzir Maqbool Ganie, Bilal Ahmad Dar alias Gugroo, Manzoor Ahmad Dar and Danish Abass Zargar, all residents of Barzulla, Srinagar. The prosecution examined four witnesses out of fourteen cited in the challan.
APP Zia ul Rehman appeared for the UT, while Advocate Shabir Ahmad represented the accused persons.
After examining the evidence, the court noted that the prosecution witnesses spoke about a mob of around 100 to 200 persons, but failed to prove the specific role of the accused. The court observed that no identification parade was conducted and no independent civilian witness was examined, despite the alleged presence of a large gathering.
The court further held that mere presence of accused persons at the spot could not establish their participation in the alleged offences in the absence of reliable identification and cogent evidence. It also observed that recovery of ordinary stones from a public place, without any identification mark, was not incriminating.
Holding that the prosecution failed to prove that the accused were members of the unlawful assembly or had participated in stone-pelting, causing injuries or damaging vehicles, the court extended benefit of doubt to them.
Accordingly, all seven accused were acquitted and set at liberty. Their personal bonds and bail bonds were discharged, while the challan was dismissed.",playwright,"['Srinagar', 'Jammu']",['Hurriyat'],['CRPF'],[],[],[],Stone Pelting,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-10T04:12:38.537737,
2026-06-03T00:34:44.911297,Daily Excelsior,Army installs scanners at fencing gates along LoC in Poonch-Rajouri,https://www.dailyexcelsior.com/army-installs-scanners-at-fencing-gates-along-loc-in-poonch-rajouri/,"['rajouri', 'poonch']",jk,2026-06-01,"‘Aadhar based entry-exit system to check smuggling’ Gopal Sharma RAJOURI, June 1: In a significant development, the Army for the first time has installed scanning machines at the exist-entry gates/points at the barbed wire fencing, along the Line of Control (LoC) in Poonch and Rajouri sectors to facilitate the border villagers and keep a check on the narcotic and weapon smuggling. Follow the Daily Excelsior channel on WhatsApp Official sources said that dozens of Indian villages and hamlets (Morhas) are situated on that side of the fencing, closer to the Line of Control in Rajouri and Poonch. Earlier, physical frisking of the villagers and their luggage at these check points/gates was being conducted by the Army and male and lady cops jointly. Now, Army has installed X-ray scanners and introduced Aadhar based entry-exit system along the LoC. This system will help in big way to keep a check in the smuggling of drugs/contraband material and even explosive from across the LoC, the sources added. Click here to watch video With this people-centric initiative along the Line of Control in twin border districts of Pir Panjal region, the sources said, Army has introduced Aadhaar-based entry and exit systems at LoC gates to facilitate smoother, faster and more secure movement of residents living across the border fence. “The technology-driven initiative is expected to provide substantial relief to hundreds of civilians who cross these gates regularly for their daily needs. Poonch, Bhimber Gali, Rajouri and Nowshera Garrisons of the Army have taken lead in implementing the Aadhaar-based system in Pir Panjal region, demonstrating a strong commitment towards improving public convenience while maintaining robust security measures and keep a check on smuggling,” officials said. “Through digital authentication, the system enables quick verification of individuals, significantly reducing waiting times and eliminating the need for lengthy manual procedures. Similar, Aadhaar-based entry and exit systems have also been installed in Nowshera and Sunderbani sectors, closer to the LoC as dozens of villages in this belt also fall on that side of the fence,” they added. The adoption of advanced technology across these formations reflects the Army’s collective effort to improve the quality of life of border residents while ensuring effective security management. A major highlight of the initiative is the installation of modern X-ray baggage screening machines at LoC crossing points. These state-of-the-art machines enable swift and accurate screening of luggage, reducing manual checks and considerably shortening waiting times for civilians, officials said. They further said that the advanced equipment will not only enhance security but also make the entire crossing process more efficient, convenient and user-friendly for the public. For years, civilians crossing these gates had to stand in queues and under go time-consuming verification and baggage-checking procedures. Wit",playwright,"['Poonch', 'Rajouri']",[],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:38.487434,True
2026-06-04T16:28:54.955001,Daily Excelsior,Ganderbal Police Seize Large Quantity Of LPG Cylinders In Crackdown On Illegal Hoarding; Case Registered,https://www.dailyexcelsior.com/ganderbal-police-seize-large-quantity-of-lpg-cylinders-in-crackdown-on-illegal-hoarding-case-registered/,['ganderbal'],jk,2026-06-04,"Ganderbal, Jun 4: In a major crackdown on the illegal hoarding and suspected black marketing of LPG cylinders, Ganderbal Police conducted a search operation in the Nunner Takia area and recovered a large quantity of domestic and commercial gas cylinders allegedly stored without valid authorization.
According to officials, the operation was launched following specific inputs regarding the unlawful storage of LPG cylinders. During the search, police recovered cylinders belonging to various companies from the premises of Javid Ahmad Sofi, a resident of Nunner Takia, who was allegedly storing them without the requisite licence or permission.
The seized cylinders were taken into custody on the spot in the presence of officials from the Consumer Affairs and Public Distribution (CAPD) Department after completion of all legal formalities.
Police said the unauthorized storage of such a large quantity of LPG cylinders not only violated the provisions of law but also posed a serious threat to public safety due to the potential risk of accidents and explosions.
In this regard, FIR No. 91/2026 has been registered at Police Station Ganderbal under Sections 3/7 of the Essential Commodities Act and Section 287 of the Bharatiya Nyaya Sanhita (BNS).
Officials said further investigation is underway to ascertain the extent of the alleged illegal activity and identify any other individuals involved in the case.
Ganderbal Police reiterated their commitment to taking strict action against activities that endanger public safety and disrupt the supply of essential commodities. Citizens have also been urged to report any instances of hoarding, black marketing, or other unlawful practices to the nearest police station. (KNC)",playwright,['Ganderbal'],[],[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:38.550240,True
2026-06-08T05:13:58.087496,Daily Excelsior,Shooters wanted in Punjab arrested from Patnitop,https://www.dailyexcelsior.com/shooters-wanted-in-punjab-arrested-from-patnitop/,['arrested'],jk,2026-06-07,"Excelsior Correspondent
JAMMU, June 7: Two shooters allegedly involved in the killing of a shopkeeper in Punjab’s Ferozepur district were arrested from a hotel in Patnitop area, under the jurisdiction of Kud Police Station in Udhampur district.
Official sources told the Excelsior that the accused were arrested by the Punjab Police’s Anti-Gangster Task Force (AGTF) in a joint operation with the Jammu and Kashmir Police
One .30 bore Beretta pistol along with 10 live cartridges were recovered from possession of the alleged shooters, who were staying in a private hotel at Patnitop absconding after killing Gurcharan Singh Gaba, owner of Gaba General Store at Makhu town on June 1.
Those arrested, have been identified as Vishnu Kumar, a resident of Bharatpur in Rajasthan; and Rahul Mahawar from Kota. Preliminary investigation revealed that accused Vishnu has a criminal background involving extortion, robbery, dacoity, theft, and the Arms Act violations, and was carrying a reward of Rs 10,000 declared by the Rajasthan Police.
Police sources told the Excelsior that acting on intelligence inputs, Punjab Police’s Anti-Gangster Task Force approached J&K Police following which a joint operation was launched early in the Saturday morning, during which both the accused were arrested.
Follow the Daily Excelsior channel on WhatsApp
Under the supervision of DIG Udhampur-Reasi Range, Shiv Kumar Sharma, SDPO Chenani, Sukhbir Singh and SHO Kud, Dy SP Palak Anand led the local Police team during the successful operation, sources added.
Gurcharan Singh Gaba, owner of Gaba General Store at Makhu town, was shot dead by two unidentified men who arrived at the market on a motorcycle and opened fire at him. He later succumbed to his injuries.
Meanwhile, according to PTI, Additional Director General of Punjab Police (ADGP) AGTF Promod Ban said that following the murder of Gaba, a special operation code named ‘Hill Trap’ was launched by the AGTF Punjab and extensive raids were conducted in Rajasthan.
Acting upon human-intel developed during these raids, the hideout of the accused was traced to Jammu and Kashmir, he said, while adding that acting swiftly, a joint operation was launched by AGTF Punjab, Ferozepur Police and Jammu and Kashmir Police.
The ADGP claimed that the accused were intercepted at a checkpoint established at the Patnitop-Kud Road near Police Station Kud, and upon being confronted by the police team, the accused allegedly attempted to evade arrest. However, the police teams successfully apprehended both accused and recovered the pistol from their possession, he said.
Ferozepur, Senior Superintendent of Police, Bhupinder Singh Sidhu said that police teams are now focusing on uncovering the larger conspiracy behind the incident, including identifying those who may have planned, financed, or facilitated the attack.",playwright,"['Udhampur', 'Jammu', 'Reasi']",[],[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:38.808530,True
2026-06-09T15:51:10.024115,Daily Excelsior,"Omar Welcomes Zojila Breakthrough, Appeals To Gadkari To Launch Direct Air Connectivity To Kargil",https://www.dailyexcelsior.com/omar-welcomes-zojila-breakthrough-appeals-to-gadkari-to-launch-direct-air-connectivity-to-kargil/,[],jk,2026-06-09,"MINIMARG (LADAKH), Jun 6: Jammu and Kashmir Chief Minister Omar Abdullah on Tuesday appealed to Union minister Nitin Gadkari to use his influence to launch direct air connectivity to Kargil.
Speaking at the breakthrough ceremony of the Zojila tunnel here, Abdullah congratulated the people of Ladakh for getting closer to the realisation of the dream of all-weather connectivity.
“I congratulate the people of Ladakh and thank Gadkari and his officers in the ministry for this breakthrough, which will bring us closer to the dream of all-weather connectivity,” Abdullah said.
The chief minister, however, said that while one dream of the people of Ladakh is close to getting fulfilled, another – that of direct and regular air connectivity to Kargil – is yet to take shape.
“Another dream needs to be realised, i.e., regular and direct air service to Kargil. I had tried but without any success. This is another long-standing demand of the people of Kargil,” he said.
In an appeal to Gadkari, the Union minister of road transport and highways, Abdullah said, “You are a dynamic person, and a doer. So I request you to please use your influence to help realise this aspiration as well. Improved air services and road connectivity would benefit the region greatly.” He also said that many people had dreamt of this project but could not realise it.
The Zojila tunnel connecting the Kashmir Valley with Ladakh took a crucial step towards completion on Tuesday with a blast breaking through the last 2.5 metres of the high-altitude infrastructure project that cuts through the Himalayas.
Gadkari pressed the remote button, blasting the breakthrough site near the East Portal of the tunnel at Minimarg in Ladakh, in the presence of Abdullah and J&K Lieutenant Governor Manoj Sinha.
With this, the two ends of the world’s longest single-tube bi-directional bypass, which will cut travel time to cross the high-altitude pass from 1.5 hours to 15 minutes, have now been connected, officials said.
The successful breakthrough marked the realisation of a long-cherished dream – year-round connectivity between Kashmir and Ladakh.
“For decades, people of the region faced immense hardships due to the closure of the Zojila Pass in winter. The tunnel would significantly improve the lives of residents by facilitating easier access to education, healthcare, tourism, trade and commerce,” Abdullah said.
He also expressed hope that the remaining work on the project would be completed at the earliest so that the tunnel becomes fully operational. (AGENCIES)
Home home slider left Omar Welcomes Zojila Breakthrough, Appeals To Gadkari To Launch Direct Air Connectivity...",playwright,['Jammu'],[],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T15:51:10.363603,
2026-06-09T15:52:04.455006,Daily Excelsior,"Hiranagar, Poonch XI, Bandhu Rakh register wins",https://www.dailyexcelsior.com/hiranagar-poonch-xi-bandhu-rakh-register-wins/,"['poonch', 'bandh']",jk,2026-06-09,"GNN Hockey League
Excelsior Sports Correspondent
JAMMU, June 8: The GNN Jammu Hockey League (U-19) 2026, organised by GNN Hockey Club under the aegis of Hockey Jammu & Kashmir, continued with thrilling encounters in which Hiranagar Hockey Club, Poonch XI and Bandhu Rakh Hockey Club recorded convincing victories.
In the first match, Hiranagar Hockey Club defeated Lachhipur Hockey Club by 5-0. From the outset, Hiranagar dominated proceedings with sharp attacking moves, disciplined defence and excellent coordination, not allowing their opponents to settle into rhythm. Nishant Balotra was adjudged Man of the Match for his outstanding performance and key contribution.
In the second fixture, Poonch XI delivered a commanding performance, outclassing MBS Hockey Club Simbal Camp by 15-0 in one of the most one-sided matches of the tournament so far. The team displayed exceptional speed, teamwork and finishing ability throughout the game. Mhd. Altmash was declared Man of the Match for his remarkable display.
The third match witnessed Bandhu Rakh Hockey Club defeating Khalsa Hockey Club by 6-2 in an exciting contest. Both teams showed attacking intent, but Bandhu Rakh capitalised on crucial opportunities to secure victory. Gurpreet Singh was named Man of the Match.
The matches were graced by Jaspal Singh (Retd. SE, PWD) as chief guest, who appreciated the organisers and encouraged youth participation in hockey.",playwright,"['Poonch', 'Jammu']",[],[],[],[],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T15:52:04.549190,
2026-06-09T17:48:59.573953,Daily Excelsior,"Rs 6,800-Cr Zojila Tunnel Project In J&K Achieves Breakthrough In Excavation Work",https://www.dailyexcelsior.com/rs-6800-cr-zojila-tunnel-project-in-jk-achieves-breakthrough-in-excavation-work/,[],jk,2026-06-09,"Drass/ Minimarg, Jun 9 : The Rs 6,800-crore Zojila tunnel, Asia’s longest tunnel connecting the Kashmir Valley to Ladakh, on Tuesday achieved a significant breakthrough with a blast breaking through the last 2.5 metres of the 13-km high-altitude infrastructure project that cuts through the Himalayas.
Union Minister for Road Transport and Highways Nitin Gadkari performed the breakthrough blasting of the main tunnel being constructed at an altitude of 11,578 feet above sea level, around 24 km from Sonamarg and 103 km from Srinagar.
Addressing the media, the minister said the project is a lifeline for the people of Leh, Ladakh and Jammu and Kashmir. It is at a height of 3,000 metres and workers have given their contribution by working in temperatures as low as minus four degrees.
He said 80 per cent of the workforce belongs to the region, and added that the project will provide all-weather connectivity to people of Ladakh region to Srinagar.
The breakthrough blasting of the main tunnel was conducted at an equidistant of 6.5 km, providing access to East Portal (east side) to West Portal (west side).
Jammu and Kashmir Lieutenant Governor Manoj Sinha and Chief Minister Omar Abdullah were also present on the occasion.
Officials of the National Highways & Infrastructure Development Corporation Limited (NHIDCL) said the breakthrough is six months ahead of schedule.
As of now, about 85 per cent of the total work has been completed, Authority Engineer for the project, Yousef Es’haghpour Rahimabadi, told PTI here.
The tunnel is likely to be thrown open to the public in February 2028, the officials said, adding that after the breakthrough, the civil works will take another seven to eight months before the electrical works will begin.
The tunnel, 9.5 metre wide, 7.57 metre high and 13.153 km long, is a horseshoe-shaped single-tube, a two-lane road tunnel built at the height of around 11,578 feet above sea level.
Abdullah appreciated the ministry for the Zojila tunnel project.
“People of Ladakh region saw this dream long ago. It (connectivity) has been their dream for long.
“But no one was able to fulfil this dream. People had to face a lot of problems with respect to education, tourism, medical treatment,” he said, adding that the tunnel will improve the lives of people.
He also urged Gadkari to help in providing the region air connectivity as well in the future.
Once completed, the bi-directional tunnel will significantly improve access to Drass, Kargil and Leh, while enhancing civilian mobility, logistics and regional connectivity in this strategically important area.
In tunnelling, a breakthrough refers to the moment when teams involved in excavation work from both sides meet at a given point.
“The Zojila Tunnel is one of India’s most challenging infrastructure projects taking shape in the heights of the Himalayas. Under the visionary leadership of Prime Minister Narendra Modi and the guidance of Union Minister for Road Transport and Highways Nitin Gadkari,",playwright,"['Srinagar', 'Jammu']",[],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T17:48:59.741718,
