timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,ner_state_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at,llm_enhanced
2026-06-12T21:10:02.015727,Top News J&K,PoJK bloodshed a matter of grave concern; India cannot remain a silent spectator: NSF,https://topnewsjk.in/jammu/pojk-bloodshed-a-matter-of-grave-concern-india-cannot-remain-a-silent-spectator-nsf/,[],jk,2026-06-12,"Urges GoI to raise issue internationally, mulls memorandum to United Nations
JAMMU, Jun 12: Expressing profound concern over the deteriorating situation in Pakistan-occupied Jammu & Kashmir (PoJK), Chairman, National Sikh Front (NSF) and Senior Leader Bharatiya Janata Party Varinderjeet Singh, on Friday strongly condemned the reported violence, civilian killings, mass arrests and crackdown on protesters associated with the Joint Awami Action Committee (JAAC).
In a statement issued here today, Varinderjeet Singh said that disturbing reports emerging from PoJK indicate that the region is witnessing an alarming humanitarian and democratic crisis. He said that the use of force against civilians, restrictions on civil liberties, communication blackouts and suppression of dissent have further aggravated the already volatile situation.
The NSF Chairman reminded the Government of India that Parliament, through unanimous resolutions adopted by both Houses, has consistently maintained that the entire territory of Jammu & Kashmir, including Pakistan-occupied Jammu & Kashmir, is an integral and inseparable part of India. “If PoJK is an integral part of India, then the people residing there are also our own citizens in spirit, history and constitutional claim. Their sufferings cannot be ignored, nor can their voices be allowed to be silenced through bullets and intimidation,” he asserted.
Varinderjeet Singh said that irrespective of political differences or administrative disputes, the protection of innocent human lives must remain the foremost priority. He urged the Government of India to closely monitor the situation and raise the issue before appropriate international forums, highlighting alleged human rights violations and the suppression of democratic rights in the region.
The NSF Chairman further stated that the National Sikh Front is actively considering submitting a detailed memorandum to the United Nations and other international human rights bodies, seeking urgent intervention to ensure that violence is halted and innocent civilians are protected. “The international community cannot afford to look away when ordinary men, women and youth are caught in the crossfire of political turmoil and state repression,” he said.
Calling for restraint, dialogue and a peaceful resolution of all outstanding grievances, S. Varinderjeet Singh emphasized that durable peace can never be achieved through force. He appealed to the authorities in Pakistan to immediately stop the use of excessive force, release those detained for peaceful democratic activities and create conditions conducive to meaningful dialogue.
“The people of PoJK deserve dignity, justice, democratic freedoms and the right to live without fear. History has repeatedly shown that the aspirations of a people cannot be crushed through coercion. The path forward lies in reconciliation, not repression,” he added.
The NSF appealed to all peace-loving organizations, human rights defenders and democratic instit",playwright,['Jammu'],['Nsf'],[],[],[],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-12T21:10:02.205758,
2026-06-04T16:30:14.946746,Top News J&K,NC Legislatures decision to hold protest in Delhi for restoration of Statehood is eye opening for Modi Govt: Rattan Lal,https://topnewsjk.in/jammu/nc-legislatures-decision-to-hold-protest-in-delhi-for-restoration-of-statehood-is-eye-opening-for-modi-govt-rattan-lal/,['protest'],jk,2026-06-04,"JAMMU, Jun 4: The Jammu and Kashmir National Provincial President Jammu, Rattan Lal Gupta said that the decision of the National Conference Legislature Party to hold a protest in Delhi on the opening day of the forthcoming Monsoon Session of Parliament for the restoration of Statehood to Jammu and Kashmir is a significant and historic step in the democratic struggle of the people of J&K.
The joining function was organized by Vijay Laxmi Datta Senior leader. Rattan Lal Gupta said that Restoration of Statehood is not merely a political demand; it is a constitutional, democratic, and legitimate right of the people of Jammu and Kashmir. The continued denial of Statehood by the Centre Govt has deprived the people of their full democratic rights and weakened the federal structure that forms the foundation of the Republic of India.
Gupta emphasized that the proposed protest should serve as an eye-opener for the Modi Government. It is unprecedented and deeply concerning that legislators belonging to a democratically elected ruling party are compelled to protest in the national capital against the Union Government for the restoration of the fundamental democratic rights of their own people.
The people of J&K have repeatedly expressed their aspirations for Statehood, and even the Union Government PM and HM have made assurances on several occasions in Parliament, outside in public domain and in Honble Supreme Court of India regarding its restoration. However, the continued delay has generated widespread disappointment and resentment among the masses.
Gupta said that the National Conference firmly believes that democracy flourishes only when the mandate of the people is respected. Denial of Statehood despite an elected government being in place undermines democratic values and weakens the spirit of cooperative federalism enshrined in the Constitution.
We urge the Government of India to immediately fulfill its commitment and restore full Statehood to Jammu and Kashmir without any further delay. The aspirations, dignity, and constitutional rights of the people cannot be kept in abeyance indefinitely.
Social activists and prominent women workers joined the National Conference include Rani Devi, Madhu Devi, Kanta Devi, Slochana, Arti Sharma, Mega Bhagat, Tanu Bhagat, Shivani Suri, Rajni Bala, Khusbu and others.
Among others who were present on this occasion included: Sheikh Bashir Ahmad Provincial Secretary, Pardeep Bali Provincial Secretary Jammu, Vijay Lochan Chairman SC Cell, Abdul Gani Teli Chairman OBC Cell, Rakesh Singh Raka Vice President Central Zone, Rajni Devi Working President Women Wing Jammu, Chander Mohan Sharma District President Jammu Urban, Abid Magrey District President Ramban, Rita Gupta, Dilshad Malik Vice Presidents Central Zone,Sardar Gurnam Singh District Secretary Jammu Urban, Kuldeep Kour District President Jammu Rural “A”, Daljeet Sharma District President Jammu Rural “B”, Pinky Khalsa Provincial Vice President Women Wing, Nadeem Choudh",playwright,"['Jammu', 'Ramban']",['Hm'],[],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-09T14:27:31.573025,True
2026-06-04T16:30:29.961926,Top News J&K,"No Theatrics, Only Consistency: MP Ruhullah Sets Condition for Jammu Kashmir Statehood Fight",https://topnewsjk.in/kashmir/no-theatrics-only-consistency-mp-ruhullah-sets-condition-for-jammu-kashmir-statehood-fight/,['jammu'],jk,2026-06-04,"SRINAGAR, Jun 4 (Agencies): Srinagar MP and senior National Conference leader Syed Aga Ruhullah Mehdi on Thursday said that any movement seeking the restoration of Jammu and Kashmir’s statehood and constitutional guarantees must be rooted in “consistency and credibility” rather than “theatrics or optics”.
He said the credibility of political leadership was being questioned by the public.
“The condition is that there should be sustainability and consistency. If there is no consistency, then there will be theatrics,” the MP said.
Ruhullah, who claimed he was not invited to a party meeting held on Wednesday, said a meaningful political struggle required a clear roadmap and wider outreach across Kashmir and Delhi.
“Do not try to fool people by sitting somewhere for a day. Make a roadmap. Reach out to the whole of Kashmir. Create a movement,” he said.
He further called for building pressure on the Prime Minister’s Office (PMO) and generating momentum both inside and outside Parliament.
Referring to Ladakh, he said Kashmir’s political leadership should learn from united efforts for rights-based demands.
“If everyone is sincere, all political parties should suspend their political identities and come together on a single platform. We should build a democratic and peaceful movement until the rights taken away in 2019 are restored,” he said.
He added that he would be willing to take the first step by resigning from Parliament if a unified movement were formed.
“I will be the first one to resign from Parliament. Let representatives be chosen from a common movement platform rather than party platforms until our constitutional rights are restored,” he said.
Ruhullah also said that political parties often unite briefly before returning to electoral competition, which weakens collective efforts.
“If parties are serious, they should keep electoral politics aside and focus entirely on the movement. People will only trust such efforts if they see sincerity and consistency,” he said.
Notably, the National Conference on Wednesday announced a protest in New Delhi on the first day of the Monsoon Session of Parliament, demanding the restoration of Jammu and Kashmir’s statehood and constitutional guarantees. The decision was taken at a meeting chaired by Chief Minister Omar Abdullah at Dachigam National Park.",playwright,"['Jammu', 'Srinagar']",['Let'],[],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-09T14:27:31.687137,True
2026-06-10T17:47:38.034753,Top News J&K,Govt’s Statehood protest at Jantar Mantar open to All Parties: Dy CM,https://topnewsjk.in/kashmir/govts-statehood-protest-at-jantar-mantar-open-to-all-parties-dy-cm/,['protest'],jk,2026-06-10,"SRINAGAR, Jun 10 (Agencies): As the Jammu and Kashmir government prepares for a protest at Jantar Mantar in New Delhi seeking the restoration of statehood, Deputy Chief Minister Surinder Choudhary on Wednesday said all political parties have been invited and appealed to them to join the demonstration.
Speaking to reporters during a visit to Bandipora district, Choudhary said the issue of statehood concerns the identity of the people of Jammu and Kashmir and expressed hope that political parties would support the demand.
“We have invited and appealed to all political parties to join our protest at Jantar Mantar in favour of the restoration of statehood. Let us see who comes and joins us,” the Deputy Chief Minister said.
He said the participation of political parties would make their position on the issue clear, adding that the demand for statehood transcends political affiliations and is linked to the aspirations of the people of Jammu and Kashmir.
Choudhary also urged the Centre to fulfil its commitment on statehood, saying Prime Minister Narendra Modi and Union Home Minister Amit Shah had assured the people that statehood would be restored.
Commenting on the mining sector, the Deputy Chief Minister alleged that the mining policy introduced during the PDP-BJP coalition government had contributed to unemployment and adversely impacted local interests. He said the present government had been working over the past two years to address those issues.
Earlier, Choudhary, accompanied by Sonawari MLA Advocate Hilal Akbar Lone, SDM Sumbal Murtaza Ahmad and other senior officials, inspected several developmental projects in Bandipora district, including the Naninara Bridge.
During the visit, he reviewed the progress of ongoing works and emphasized the need for timely completion of projects aimed at improving connectivity and accelerating development in the district.",playwright,"['Srinagar', 'Jammu', 'Bandipora']",['Let'],[],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-10T17:47:38.127143,
2026-06-02T23:30:57.677649,Top News J&K,GoC White Knight Corps reviews Op Sheruwali as Anti-Terror Operation in Rajouri enters 11th Day,https://topnewsjk.in/jammu/goc-white-knight-corps-reviews-op-sheruwali-as-anti-terror-operation-in-rajouri-enters-11th-day/,['rajouri'],jk,2026-06-02,"Daily Evening Newspaper of J&K and LadakhEvening Newspaper Access JAMMU, Jun 2 (Agencies): General Officer Commanding (GoC) of the White Knight Corps, Lieutenant General P K Mishra, on Tuesday reviewed the progress of Operation Sheruwali, the ongoing anti-terror operation in the dense forests of Jammu and Kashmir’s Rajouri district that has entered its 11th day, officials said.Maps The Corps Commander, accompanied by GoC Counter Insurgency Force (CIF) Romeo, visited the Gambhir Mughlan area to assess the operational situation and review efforts to track down suspected terrorists believed to be hiding in the forested terrain of the Manjakote sector. According to the Army, Lt Gen Mishra was briefed on the operational design, ongoing actions and sustainment measures being undertaken by the troops. He also reviewed the logistics framework supporting forces operating in the challenging terrain. “GOC, White Knight Corps, accompanied by GOC CIF Romeo, visited the general area of Gambhir Mughlan to review the progress of Operation Sheruwali and assess the operational situation on the ground,” the White Knight Corps said in a post on X.Indo-Pak Dialogue Updates The Army said the Corps Commander commended the troops for their resilience, professionalism and meticulous execution of operational tasks. “He praised all ranks for their high morale, relentless focus and ironclad resolve in pursuit of operational objectives,” the Army said, adding that the White Knight Corps remains committed to ensuring peace and security through sustained operational excellence. “The hunt continues,” it said further. The operation was launched on May 23 following intelligence inputs about the presence of terrorists in the Dorimal-Gambhir Mughlan belt of Rajouri district. An encounter broke out after a joint team of security forces established contact with the suspected terrorists. Officials said security forces have intensified efforts to flush out the terrorists, carrying out coordinated searches and targeted fire assaults, including the use of multi-barrel grenade launchers, on suspected hideouts located in dense forests marked by deep gorges and natural caves. On Monday, security forces busted a hideout in the area following a brief exchange of fire and detected blood stains, indicating possible injuries to the fleeing terrorists. However, no terrorist has been neutralised so far, officials said. A day earlier, Lt Gen Mishra, accompanied by GOC Ace of Spades Division, visited forward areas along the Line of Control (LoC) to review the evolving security situation and operational preparedness. During the visit, he interacted with troops and expressed satisfaction with measures taken to enhance surveillance, precision-strike capability and future warfare readiness, reaffirming the Army’s commitment to maintaining domination along the LoC, officials said. Your email address will not be published. Required fields are marked * Save my name, email, and website in this browser for t",playwright,"['Jammu', 'Rajouri']",[],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:31.837327,True
2026-06-03T17:10:32.839071,Top News J&K,Operation Sindoor: Special prayers held at Poonch Gurdwara for those killed in Pak shelling,https://topnewsjk.in/jammu/operation-sindoor-special-prayers-held-at-poonch-gurdwara-for-those-killed-in-pak-shelling/,['poonch'],jk,2026-06-03,"POONCH/JAMMU, May 7 (Agencies): Special prayers were held at Gurdwara Shri Guru Singh Sabha in Jammu and Kashmir’s Poonch district on Thursday to pay homage to those killed in Pakistani shelling following Operation Sindoor.
Devotees gathered at the gurdwara to pray for peace and remember the victims, while condemning the attacks on civilian areas and religious places during the
cross-border shelling.
Twelve people were killed and 34 others injured in artillery and
mortar shelling in Poonch — the worst-hit border district — soon after India launched Operation Sindoor in the early hours of May 7 last year.
The operation targeted nine terror infrastructures in Pakistan and Pakistan occupied Jammu and Kashmir (PoJK) in retaliation for the April 22 Pahalgam terror attack that left 26 people dead.
A gurdwara official told reporters that the shrine itself had come under Pakistani shelling during the hostilities.
“Although there was no loss of life inside the gurdwara, the shrine suffered major damage,” he said, recalling that a shell later struck nearby residences killing two persons.
The official said special prayers were organised to mark the first death anniversary of the victims.
He said Pakistan attempted to disturb the communal harmony of the region where Hindus, Muslims, and Sikhs had lived together peacefully for generations.
“The shelling did not spare religious places. Shells hit the gurdwara, langar hall, temples, and mosques alike. An Islamiya teacher at a mosque was also killed,” he recalled.
He added that while the government had provided compensation and employment to one member of each affected family, the loss of human lives could never truly be compensated.
The Pakistani response involved heavy artillery and mortar shelling targeting dozens of villages and densely populated civilian areas, including a gurdawara, temple, and a mosque in Mankote, Mendhar, Thandi Kassi, and Poonch town.
Among those killed were two minor siblings — Mohd Zain Khan (10) and his elder sister Zoya Khan (12). Another victim, Balvinder Kour, was killed after a mortar shell struck her house in Mankote, while her 13-year-old daughter sustained injuries.
In response to the Pahalgam terror attack on April 22 in which 26 people, mostly tourists, were killed, India launched Operation Sindoor on May 7 last year, carrying out airstrikes on nine terror infrastructures in Pakistan and Pakistan-occupied Kashmir.
The action triggered a rapid escalation in tensions with Pakistan launching retaliatory strikes, though most of them were thwarted by the Indian military. The hostilities ended with an understanding on halting the military actions on May 10 following talks over the hotline between army officials of the two sides.",playwright,"['Jammu', 'Poonch']",[],[],[],[],[],Border Infiltration,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:31.977299,True
2026-06-04T14:08:21.110777,Top News J&K,Rajouri Anti-Militancy Operation enters 13th day; Search efforts intensified,https://topnewsjk.in/jammu/rajouri-anti-militancy-operation-enters-13th-day-search-efforts-intensified/,['rajouri'],jk,2026-06-04,"JAMMU, Jun 4 (Agencies): The anti-militancy operation in the dense forests of Jammu and Kashmir’s Rajouri district entered its 13th consecutive day on Thursday, with security forces intensifying search efforts and maintaining a tight cordon around the operation area, officials said.
The joint operation, codenamed Operation Sheruwali, is being carried out by the Army, Jammu and Kashmir Police and the Central Reserve Police Force (CRPF). It was launched following specific intelligence inputs regarding the presence of militants in the Dorimal–Gambhir Moghla belt of Rajouri district.
Officials said an exchange of fire took place between security forces and suspected militants shortly after the operation commenced. The Army’s White Knight Corps had earlier stated in a post on X that contact was established with terrorists at around 11:30 am on Saturday during the intelligence-based operation conducted jointly with the police and CRPF in the Gambhir Moghla area.
According to officials, two to three militants are believed to be trapped in the forested region. Security forces have strengthened the cordon and enhanced surveillance measures to prevent any attempt to break through the security grid.
Officials said a multi-layered cordon remains in place around the dense forest area, while forces engaged in the operation continue to maintain round-the-clock surveillance and a high level of alertness as search operations progress.",playwright,"['Jammu', 'Rajouri']",[],['CRPF'],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:32.039017,True
2026-06-05T12:49:22.329537,Top News J&K,"Panun Kashmir calls for security overhaul, recognition of genocide of Kashmiri Hindus",https://topnewsjk.in/top-stories/panun-kashmir-calls-for-security-overhaul-recognition-of-genocide-of-kashmiri-hindus/,[],jk,2026-06-05,"JAMMU, Jun 4: Panun Kashmir on Thursday expressed serious concern over what it described as the evolving and increasingly sophisticated nature of jihadi terrorism in Jammu and Kashmir, urging the Government of India to undertake a comprehensive review of the security situation and address the ideological dimensions of terrorism in the region.
Addressing a press conference at the Press Club Jammu, Dr. Ajay Chrungoo, Chairman of Panun Kashmir, said that recent terrorist encounters, prolonged anti-terror operations, and casualties among security personnel indicate a significant enhancement in the operational capabilities of terrorist groups and their support networks.
He observed that several recent encounters have resembled well-planned military-style ambushes rather than conventional anti-terror engagements, reflecting improved tactical planning, intelligence gathering, communication systems, and survival capabilities among terrorist outfits. Referring to the ongoing anti-terror operation in Rajouri, Dr. Chrungoo said it underlined the changing nature of the security challenge confronting the region.
Panun Kashmir also expressed concern over the continued existence of what it termed a sophisticated over-ground support structure facilitating terrorism. According to the organization, advanced communication networks, logistics support, local facilitation, reconnaissance, and ideological mobilization indicate the presence of an organized ecosystem sustaining terrorist activities. It warned that the threat becomes even more significant with the annual Amarnath Yatra approaching.
The organization urged authorities to remain vigilant in light of recent statements and threats emanating from Pakistan, stating that tourists, pilgrims, and other vulnerable civilian populations continue to face security risks. It referred to the Pahalgam massacre as a tragic reminder of the dangers posed by terrorism.
Welcoming the Jammu and Kashmir Administration’s actions against the drug mafia and illegal encroachments on reserved Raika Forest land in the Bhatindi-Sidhra belt of Jammu, Panun Kashmir said these initiatives demonstrate that determined state action can effectively confront entrenched criminal networks. It stressed that the rule of law must prevail against all criminal and anti-national structures, including those supporting terrorism.
Dr. Chrungoo further stated that the remaining Hindu population in Kashmir continues to be vulnerable to targeted violence. He cited incidents such as the Dhangri killings, attacks on pilgrims, the Shivkhori attack, targeted killings in the Kashmir Valley, and repeated terrorist attacks in Rajouri, Poonch, Kathua, Udhampur, Doda, and Kishtwar as evidence of a continuing security concern.
The organization maintained that existing security reviews require a fundamental overhaul to adequately address the changing nature of terrorism. It argued that tourism promotion and narratives of normalcy cannot serve as substitutes for robust ",playwright,"['Doda', 'Kathua', 'Kishtwar', 'Udhampur', 'Rajouri', 'Jammu', 'Poonch']",[],[],[],[],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:32.155195,True
2026-06-06T17:17:35.701318,Top News J&K,"Drug-Free J&K Campaign Reaches 19th District, LG Manoj Sinha Leads Padyatra In Kishtwar",https://topnewsjk.in/jammu/drug-free-jk-campaign-reaches-19th-district-lg-manoj-sinha-leads-padyatra-in-kishtwar/,['kishtwar'],jk,2026-06-06,"JAMMU, Jun 6: “We are breaking the chain of the drug trade at every single link. Whether it’s cross-border smugglers, peddlers or the terror financiers- there is no safe haven. Our agencies are hunting down every narco-terrorist and permanently dismantling their networks,” the Lieutenant Governor, Manoj Sinha said on Saturday. He observed that over the last nearly two months, citizens from all walks of life, have walked streets across the Union Territory, shared the pain of affected families, and energized our youth.
“Our goal is to foster a grassroots resistance against drug abuse and end narco-terrorism,” he said.
The Lieutenant Governor was addressing the public rally at Kishtwar. The campaign has so far covered 19 districts of Jammu Kashmir, reinforcing a collective commitment to eradicate drugs from villages and towns.
“For 56 days I have pursued a single mission of eliminating every drug smuggler and narco-terrorist from this land. Narco-terrorists and drug smugglers, whether in Pulwama or Ramban, Kulgam or Kishtwar, must understand this truth that there will be no mercy for those who ruin the future of our young generation,” the Lieutenant Governor said.
He said under the leadership of Prime Minister Narendra Modi, there is no mercy for narco-terrorists.
“We are ensuring that drug addicts who seek a path to recovery are provided all possible assistance and brought back to the mainstream with compassion and dignity. But compassion cannot be wasted on narco-terrorists who profit from others’ ruin, who thrive on destruction, who aim to drain the life from Kishtwar’s villages and towns. My objective is very clear that ruthless action will be taken against narco-terrorists while unwavering protection will be ensured for the innocent,” the Lieutenant Governor said.
The Lieutenant Governor said that although J&K Drug-Free Campaign is scheduled for 100 days, it marks the start of a much larger fight. He said eliminating this threat requires a marathon effort.
“It is a war of years, not a battle of weeks. Victory demands a unified, round-the-clock commitment. By mobilizing a whole-of-society approach, we will ensure that J&K’s soil is completely cleared of drug smugglers and drug peddlers. During the Padyatra across Jammu Kashmir, I have witnessed the incredible courage of young men and women breaking the shackles of addiction to reclaim their lives. That is why we cannot fail. This campaign is a matter of the soul of Jammu Kashmir,” the Lieutenant Governor said.
The Lieutenant Governor said in order to safeguard youth, the administration is embedding the spirit of this mission into the very fabric of our neighborhoods, equipping communities to recognize the warning signs, intervene early, and shield each other.
“Our teachers, Panchayat Mahila Samitis, religious leaders, and civil society groups are the torchbearers of this movement, standing united to ensure the shadow of addiction never finds a foothold in Kishtwar and across Jammu Kashmir. This ",playwright,"['Ramban', 'Kishtwar', 'Pulwama', 'Jammu', 'Kulgam']",[],[],[],[],[],Border Infiltration,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:32.287992,True
2026-06-08T16:36:21.394527,Top News J&K,Three Mortar Shells defused along loc in Rajouri,https://topnewsjk.in/jammu/three-mortar-shells-defused-along-loc-in-rajouri/,['rajouri'],jk,2026-06-08,"JAMMU, Jun 8 (Agencies): Three mortar shells were found at two different places along the Line of Control (LoC) in Rajouri district of Jammu and Kashmir on Monday, officials said.
While two mortar shells were noticed in Jhanghar forest area, another was found abandoned at a secluded location in Makri village of Nowshera sector this morning, the officials said.
They said the bomb disposal squad of army defused all the three mortar shells safely. In another incident, police recovered an aeroplane-shaped balloon with PIA (Pakistan International Airlines) marking at Dhaki Nala near the International Border in Samba district on Monday.
The white and green-coloured balloon was noticed by villagers and was later seized by a team of THE local police station, the officials said.
Such balloons frequently drift into Indian territory from across the border and are regularly recovered from villages located along the border belt in Jammu and Kashmir.",playwright,"['Jammu', 'Samba', 'Rajouri']",[],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:32.444348,True
